status_id,target_url,status,reply_url,user
1021376550304997376,https://x.com/rikschennink/status/1021376550304997376,replied,https://x.com/simplememo_en/status/2051471372149497988,
955819499155988480,https://x.com/jmduke/status/955819499155988480,replied,https://x.com/simplememo_en/status/2052633682293530802,
919966142487134209,https://x.com/benjkowalski/status/919966142487134209,replied,https://x.com/simplememo_en/status/2051576592665845857,
838120629408714752,https://x.com/lizwessel/status/838120629408714752,replied,https://x.com/simplememo_en/status/2051472651932352792,
755470343892897792,https://x.com/mgsiegler/status/755470343892897792,replied,https://x.com/simplememo_en/status/2051832889587949718,
732627572232753152,https://x.com/yegortokmakov/status/732627572232753152,replied,https://x.com/simplememo_en/status/2051576942638579813,
706518760656515072,https://x.com/nedwin/status/706518760656515072,replied,https://x.com/simplememo_en/status/2051577138546081853,
685235915640451072,https://x.com/viticci/status/685235915640451072,replied,https://x.com/simplememo_en/status/2051667196024365298,
662516239835656192,https://x.com/dougw/status/662516239835656192,replied,https://x.com/simplememo_en/status/2051833384499069250,
621780074237403136,https://x.com/AdamBraun/status/621780074237403136,replied,https://x.com/simplememo_en/status/2051667575252439185,
593735385395527682,https://x.com/hiutdenim/status/593735385395527682,replied,https://x.com/simplememo_en/status/2052029106880221695,
537441570627153922,https://x.com/vijayshekhar/status/537441570627153922,replied,https://x.com/simplememo_en/status/2052028945697268089,
486540529988304896,https://x.com/Prialto/status/486540529988304896,replied,https://x.com/simplememo_en/status/2052196073670852633,
484762358657458176,https://x.com/kepano/status/484762358657458176,replied,https://x.com/simplememo_en/status/2051667445057036785,
445426805814468608,https://x.com/collision/status/445426805814468608,replied,https://x.com/simplememo_en/status/2052196236296622238,
394939434753208320,https://x.com/msg/status/394939434753208320,replied,https://x.com/simplememo_en/status/2051977054380503077,
341207294480113664,https://x.com/Joshmedia/status/341207294480113664,replied,https://x.com/simplememo_en/status/2051833191221342680,
226071042622386177,https://x.com/tylertringas/status/226071042622386177,replied,https://x.com/simplememo_en/status/2052995962633908676,
212021312883916801,https://x.com/RickWebb/status/212021312883916801,replied,https://x.com/simplememo_en/status/2051977679055077742,
142082130162356224,https://x.com/JeffChausse/status/142082130162356224,replied,https://x.com/simplememo_en/status/2052995623700549834,
56439932209737728,https://x.com/LaughingSquid/status/56439932209737728,replied,https://x.com/simplememo_en/status/2052029260685312323,
25988970758,https://x.com/Alltop_Mac/status/25988970758,replied,https://x.com/simplememo_en/status/2052195776026304724,
